NUESP,ESP,RL_2022
59047,Hylaeus pictipes,LC
59048,Hylaeus pilosulus,CR
59049,Hylaeus punctatus,LC
59050,Hylaeus punctulatissimus,VU
59051,Hylaeus rinki,LC
59052,Hylaeus signatus,LC
59053,Hylaeus sinuatus,LC
59054,Hylaeus styriacus,LC
59055,Hylaeus taeniolatus,LC
59056,Hylaeus tyrolensis,VU
59057,Hylaeus variegatus,VU
59523,Icteranthidium laterale,EN
59326,Lasioglossum aeratum,VU
59327,Lasioglossum albipes,LC
59328,Lasioglossum albocinctum,VU
59329,Lasioglossum alpigenum,LC
59330,Lasioglossum angusticeps,DD
59331,Lasioglossum bavaricum,LC
59332,Lasioglossum bluethgeni,LC
59333,Lasioglossum brevicorne,VU
59334,Lasioglossum breviventre,EN
59335,Lasioglossum buccale,VU
59336,Lasioglossum calceatum,LC
59337,Lasioglossum clypeare,EN
59338,Lasioglossum convexiusculum,VU
59340,Lasioglossum costulatum,NT
59341,Lasioglossum cupromicans,LC
59342,Lasioglossum discum,VU
59343,Lasioglossum elegans,EN
59344,Lasioglossum euboeense,EN
59345,Lasioglossum fratellum,LC
59346,Lasioglossum fulvicorne,LC
59347,Lasioglossum glabriusculum,LC
59348,Lasioglossum griseolum,VU
59349,Lasioglossum intermedium,VU
59350,Lasioglossum interruptum,LC
59352,Lasioglossum laeve,EN
59353,Lasioglossum laevidorsum,EN
59354,Lasioglossum laevigatum,LC
59355,Lasioglossum laterale,DD
59356,Lasioglossum laticeps,LC
59357,Lasioglossum lativentre,LC
59358,Lasioglossum leucopus,LC
59359,Lasioglossum leucozonium,LC
59360,Lasioglossum limbellum,VU
59361,Lasioglossum lineare,NT
59362,Lasioglossum lissonotum,VU
59363,Lasioglossum lucidulum,LC
59364,Lasioglossum majus,VU
59365,Lasioglossum malachurum,LC
59366,Lasioglossum marginatum,LC
59367,Lasioglossum marginellum,EN
59451,Lasioglossum medinai,DD
59368,Lasioglossum minutissimum,LC
59369,Lasioglossum minutulum,VU
59441,Lasioglossum monstrificum,NT
59370,Lasioglossum morio,LC
59371,Lasioglossum nigripes,LC
59372,Lasioglossum nitidiusculum,LC
59373,Lasioglossum nitidulum,LC
59374,Lasioglossum pallens,LC
59375,Lasioglossum parvulum,LC
59376,Lasioglossum pauperatum,RE
59377,Lasioglossum pauxillum,LC
59378,Lasioglossum peregrinum,RE
59444,Lasioglossum pleurospeculum,EN
59443,Lasioglossum podolicum,VU
59379,Lasioglossum politum,LC
59381,Lasioglossum punctatissimum,LC
59382,Lasioglossum puncticolle,NT
59383,Lasioglossum pygmaeum,NT
59384,Lasioglossum quadrinotatulum,EN
59385,Lasioglossum quadrinotatum,RE
59386,Lasioglossum quadrisignatum,EN
59387,Lasioglossum rufitarse,LC
59388,Lasioglossum semilucens,LC
59389,Lasioglossum setulosum,EN
59390,Lasioglossum sexmaculatum,RE
59391,Lasioglossum sexnotatum,VU
59392,Lasioglossum sexstrigatum,NT
59395,Lasioglossum subfasciatum,NT
